Time (s),X (rad/s),Y (rad/s),Z (rad/s)
341988.212696607,0.232269,0.266922,0.078171
341988.217609937,0.265289,0.223236,0.085617
341988.222553785,0.313232,0.182755,0.102676
341988.227497632,0.380341,0.138016,0.123978
341988.23244148,0.45491,0.082626,0.144211
341988.237385327,0.526276,0.01445,0.160187
341988.242298658,0.579544,-0.031357,0.17511
341988.247242505,0.609375,-0.069702,0.198547
341988.252186353,0.608307,-0.111252,0.212387
341988.257130201,0.578476,-0.141083,0.218781
341988.262074048,0.522018,-0.167709,0.223038
341988.266987378,0.449585,-0.182632,0.218781
341988.271931226,0.375015,-0.185822,0.207062
341988.276875074,0.304703,-0.183685,0.184692
341988.281818921,0.246109,-0.173035,0.145279
341988.286762769,0.197113,-0.158127,0.090958
341988.291706617,0.160889,-0.140015,0.0270389999999999
341988.296650464,0.136398,-0.116577,-0.043274
341988.301563794,0.122543,-0.102737,-0.118912
341988.306507642,0.115082,-0.098465,-0.197739
341988.31145149,0.117218,-0.10379,-0.281891
341988.316395337,0.117218,-0.121902,-0.368179
341988.321308667,0.115082,-0.144272,-0.454468
341988.326252515,0.105499,-0.160263,-0.531158
341988.331196363,0.094849,-0.177307,-0.591888
341988.33614021,0.085251,-0.196472,-0.636627
341988.341084058,0.078873,-0.218842,-0.666458
341988.346027906,0.071411,-0.23909,-0.687759
341988.350941236,0.066086,-0.253998,-0.694153
341988.355885083,0.059692,-0.269974,-0.690948
341988.360828931,0.051163,-0.288086,-0.677109
341988.365742261,0.037323,-0.298737,-0.657928
341988.370686109,0.021347,-0.309387,-0.635559
341988.375629956,0.004303,-0.332825,-0.611053
341988.380604322,-0.0138089999999999,-0.35733,-0.588684
341988.385548169,-0.031921,-0.3797,-0.576965
341988.390492017,-0.040436,-0.402069,-0.5578
341988.395435865,-0.041504,-0.435089,-0.543945
341988.400379712,-0.040436,-0.460663,-0.540756
341988.40532356,-0.040436,-0.4841,-0.540756
341988.41023689,-0.03511,-0.509659,-0.537552
341988.415180738,-0.038315,-0.528839,-0.535431
341988.420124585,-0.044708,-0.542679,-0.532227
341988.425068433,-0.053223,-0.554398,-0.526901
341988.429981763,-0.060684,-0.560791,-0.521576
341988.434895093,-0.070267,-0.562927,-0.518387
341988.439838941,-0.087311,-0.574646,-0.507721
341988.444782788,-0.105423,-0.586365,-0.491745
341988.449726636,-0.124603,-0.598083,-0.475769
341988.454639966,-0.140579,-0.606598,-0.4534
341988.459583814,-0.153366,-0.616196,-0.429962
341988.464527661,-0.15976,-0.627914,-0.402267
341988.469471509,-0.162949,-0.631104,-0.370316
341988.474415357,-0.16188,-0.628967,-0.339417
341988.479359204,-0.158691,-0.625778,-0.30426
341988.484303052,-0.152298,-0.618317,-0.263779
341988.4892469,-0.144836,-0.604477,-0.22757
341988.49416023,-0.138443,-0.593811,-0.193481
341988.499104077,-0.12886,-0.58316,-0.157257
341988.504017408,-0.11821,-0.582108,-0.119965
341988.508961255,-0.108627,-0.584229,-0.084824
341988.513905103,-0.094772,-0.593811,-0.049667
341988.518848951,-0.079865,-0.604477,-0.0123749999999999
341988.523792798,-0.061752,-0.619385,0.024902
341988.528706128,-0.04364,-0.627914,0.060059
341988.533649976,-0.027664,-0.63324,0.097336
341988.538593824,-0.013809,-0.639618,0.130371
341988.543537671,-0.00209,-0.648148,0.163391
341988.548481519,0.005371,-0.659866,0.191086
341988.553425367,0.014954,-0.674774,0.211319
341988.558338697,0.025604,-0.693954,0.226242
341988.563282544,0.039459,-0.71846,0.235825
341988.568226392,0.057556,-0.738693,0.243286
341988.57317024,0.077805,-0.752548,0.24968
341988.578114087,0.093781,-0.739761,0.252869
341988.583057935,0.093781,-0.703537,0.248611
341988.588001783,0.080994,-0.644958,0.234756
341988.592915113,0.058624,-0.569321,0.213455
341988.59785896,0.033066,-0.475571,0.187897
341988.602802808,0.019211,-0.383957,0.161255
341988.607746656,0.026672,-0.308334,0.11972
341988.612659986,0.052231,-0.251862,0.041946
341988.617603833,0.093781,-0.213516,-0.064575
341988.622547681,0.150238,-0.199677,-0.171097
341988.627491529,0.219482,-0.220978,-0.253128
341988.632435376,0.302567,-0.260391,-0.310654
341988.637348706,0.378204,-0.310455,-0.341553
341988.642292554,0.425079,-0.354141,-0.358597
341988.647236402,0.442123,-0.388229,-0.362854
341988.652180249,0.415497,-0.426575,-0.35965
341988.657124097,0.349442,-0.462784,-0.344742
341988.662067945,0.247177,-0.481964,-0.323441
341988.666981275,0.127869,-0.487289,-0.302139
341988.671894605,0.021347,-0.463852,-0.282959
341988.676838452,-0.060684,-0.434036,-0.262711
341988.6817823,-0.112885,-0.418045,-0.245667
341988.686726148,-0.129929,-0.408463,-0.232895
341988.691669995,-0.121399,-0.395676,-0.228622
341988.696613843,-0.096909,-0.377563,-0.23822
341988.701557691,-0.05748,-0.340286,-0.269104
341988.706501538,-0.0031589999999999,-0.274246,-0.324509
341988.711414869,0.06395,-0.163452,-0.385223
341988.716358716,0.132126,-0.0196379999999999,-0.439545
341988.721302564,0.194977,0.138016,-0.488556
341988.726246411,0.23439,0.280762,-0.522644
341988.731190259,0.235458,0.399002,-0.54715
341988.736103589,0.199249,0.487427,-0.553528
341988.741047437,0.13533,0.534302,-0.539688
341988.745991285,0.0596919999999999,0.554535,-0.506668
341988.750935132,-0.0116879999999999,0.572647,-0.458725
341988.75587898,-0.064941,0.590759,-0.395874
341988.760822827,-0.097961,0.604599,-0.32663
341988.765736158,-0.116074,0.607803,-0.245667
341988.770680005,-0.116074,0.603546,-0.151932
341988.775623853,-0.089447,0.591827,-0.0422059999999999
341988.780567701,-0.04364,0.581161,0.072845
341988.785511548,0.021347,0.575836,0.192154
341988.790455396,0.095917,0.571579,0.310394
341988.795368726,0.174744,0.569443,0.421188
341988.800312574,0.253571,0.570511,0.51918
341988.805256421,0.315353,0.574783,0.60228
341988.810200269,0.362228,0.576904,0.66832
341988.815113599,0.386734,0.576904,0.723724
341988.820057447,0.387787,0.58223,0.759933
341988.825001294,0.368622,0.583298,0.783371
341988.829945142,0.331329,0.586487,0.796158
341988.83488899,0.283401,0.590759,0.799347
341988.839832837,0.226944,0.596085,0.799347
341988.844746167,0.167282,0.604599,0.792953
341988.849690015,0.109756,0.602478,0.779114
341988.854633863,0.053299,0.597153,0.749283
341988.85957771,3.100000000000325e-05,0.593948,0.718399
341988.864521558,-0.038315,0.593948,0.685364
341988.869465406,-0.073471,0.595016,0.649155
341988.874378736,-0.09903,0.603546,0.615067
341988.879292066,-0.120331,0.614197,0.588425
341988.884266431,-0.138443,0.617386,0.570312
341988.889210279,-0.154419,0.62059,0.56073
341988.894154126,-0.162949,0.625916,0.547943
341988.904041822,-0.171463,0.622711,0.511734
341988.908985669,-0.177856,0.61525,0.490417
341988.913929517,-0.182129,0.610992,0.465927
341988.918873365,-0.190643,0.603546,0.439285
341988.923786695,-0.210892,0.593948,0.403076
341988.928730542,-0.230057,0.587555,0.364731
341988.93367439,-0.24498,0.580109,0.323181
341988.938618238,-0.253494,0.571579,0.281631
341988.943562085,-0.265213,0.561996,0.237961
341988.948475415,-0.268402,0.550278,0.193222
341988.953419263,-0.263077,0.536423,0.149536
341988.958363111,-0.252426,0.515121,0.109055
341988.963306958,-0.233261,0.485291,0.073914
341988.968250806,-0.206619,0.448013,0.039825
341988.973164136,-0.177856,0.405396,0.007858
341988.978107984,-0.142715,0.362793,-0.023026
341988.983051831,-0.10968,0.316986,-0.051788
341988.987995679,-0.083054,0.272247,-0.077362
341988.992939527,-0.054291,0.232834,-0.099731
341988.997883374,-0.031921,0.194473,-0.118912
341989.002796704,-0.0095519999999999,0.156128,-0.140213
341989.007740552,0.011749,0.12204,-0.156189
341989.0126844,0.035187,0.101807,-0.16684
341989.017628247,0.062881,0.091141,-0.17749
341989.022541577,0.086319,0.084747,-0.182816
341989.027485425,0.104431,0.087952,-0.182816
