Time (s),X (µT),Y (µT),Z (µT)
342015.816589391,-11.379644209616846,-42.90801872035789,16.898052020631177
342015.821533239,-11.771255075488105,-42.71355060127421,17.61173894057318
342015.826446569,-12.160448557086085,-42.52028291918986,18.321020325105764
342015.831390417,-12.552059422957342,-42.32581480010619,19.034707245047763
342015.836334264,-12.87157428744272,-42.16651026233909,19.66596837634499
342015.841278112,-12.484547996862476,-42.35180898045432,19.489456969526216
342015.84622196,-12.097521706282231,-42.53710769856955,19.312945562707444
342015.85113529,-11.71288449973854,-42.72126258170452,19.13752374746052
342015.856079137,-11.361763574367377,-42.90561355100469,19.01012292825361
342015.861022985,-11.362514978690143,-43.080676970974025,19.364006297404863
342015.865966833,-11.36326638301291,-43.255740390943366,19.71788966655611
342015.87091068,-11.364017787183688,-43.43080377550235,20.071772964126808
342015.87582401,-11.3600997731605,-43.595817766958966,20.41913419956372
342015.880767858,-11.171927091354847,-43.4076448339905,20.59734275049937
342015.885711706,-10.983754409549194,-43.21947190102205,20.775551301435016
342015.890686071,-10.79442019006466,-43.03013742882435,20.954859884238328
342015.895629919,-10.61554,-42.851257,21.124268
