Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87246.562053448,0.0032959999999999,-0.006714,-0.001495
87246.566966778,0.01181,-0.003525,-0.000427
87246.571910625,0.02034,-0.003525,0.002762
87246.576854473,0.025665,-0.003525,0.008087
87246.581798321,0.027802,-0.001389,0.010223
87246.586742168,0.029922,0.000732,0.011292
87246.591686016,0.027802,-0.003525,0.015549
87246.596629864,0.023529,-0.007782,0.015549
87246.601573711,0.017136,-0.007782,0.015549
87246.606517559,0.007553,-0.006714,0.01767
87246.611430889,9.200000000000094e-05,-0.009918,0.016617
87246.616374737,-0.007355,-0.00885,0.018738
87246.621288067,-0.011627,-0.009918,0.018738
87246.626231914,-0.01268,-0.014175,0.016617
87246.631175762,-0.011627,-0.015244,0.012344
87246.63611961,-0.008423,-0.015244,0.008087
87246.641063457,-0.000961,-0.013107,0.007019
87246.645976787,0.007553,-0.009918,0.009155
87246.650920635,0.015015,-0.007782,0.011292
87246.655864483,0.019272,-0.007782,0.013412
87246.66080833,0.023529,-0.009918,0.010223
87246.665752178,0.025665,-0.012054,0.009155
87246.670696026,0.022476,-0.012054,0.007019
87246.675609356,0.019272,-0.014175,0.008087
87246.680553203,0.013947,-0.015244,0.005966
87246.685497051,0.009689,-0.01738,0.007019
87246.690440899,0.004364,-0.020569,0.004898
87246.695384746,0.00116,-0.023758,0.002762
87246.700328594,0.00116,-0.023758,0.000626
87246.705272442,0.00116,-0.023758,0.000626
87246.710185772,0.003296,-0.023758,0.001694
87246.715129619,0.007553,-0.02803,0.001694
87246.720073467,0.013947,-0.029099,0.002762
87246.725017315,0.018204,-0.025894,0.00383
87246.729930645,0.023529,-0.02803,0.005966
87246.734874492,0.027802,-0.026962,0.007019
87246.73981834,0.033127,-0.024826,0.007019
87246.744762188,0.03418,-0.024826,0.008087
87246.749706035,0.030991,-0.024826,0.011292
87246.754649883,0.029922,-0.020569,0.013412
87246.759593731,0.026733,-0.019501,0.014481
87246.764537578,0.022476,-0.023758,0.013412
87246.769481426,0.018204,-0.030151,0.010223
87246.774425274,0.013947,-0.034424,0.010223
87246.779338604,0.012878,-0.040802,0.009155
87246.784312969,0.015015,-0.046143,0.005966
87246.789256817,0.018204,-0.049332,0.002762
87246.794200664,0.023529,-0.052521,0.002762
87246.799144512,0.030991,-0.051468,0.00383
87246.80408836,0.038452,-0.051468,0.004898
87246.809032207,0.046967,-0.051468,0.007019
87246.813945537,0.049103,-0.0504,0.005966
87246.818889385,0.048035,-0.0504,0.005966
87246.823833233,0.045898,-0.049332,0.007019
87246.82877708,0.040573,-0.047195,0.009155
87246.833720928,0.037384,-0.047195,0.010223
87246.838634258,0.03418,-0.0504,0.011292
87246.843578106,0.029922,-0.048264,0.011292
87246.848521953,0.021408,-0.048264,0.012344
87246.853465801,0.015015,-0.048264,0.012344
87246.858409649,0.016083,-0.048264,0.015549
87246.863322979,0.023529,-0.045074,0.014481
87246.868266826,0.033127,-0.035477,0.014481
87246.873210674,0.040573,-0.029099,0.013412
87246.878154522,0.049103,-0.024826,0.01767
87246.883098369,0.055496,-0.018433,0.020874
87246.888042217,0.058685,-0.010986,0.026199
87246.89292503,0.060822,-0.005661,0.031525
87246.897868877,0.060822,-0.003525,0.034714
87246.902812725,0.058685,-0.001389,0.035782
87246.907756573,0.05336,0.003937,0.037918
87246.912669903,0.051224,0.008194,0.040054
87246.91761375,0.052292,0.015656,0.042175
87246.922557598,0.045898,0.020981,0.042175
87246.927501446,0.041641,0.027374,0.040054
87246.932414776,0.041641,0.033752,0.040054
87246.937358623,0.044846,0.038025,0.038986
87246.942302471,0.048035,0.044418,0.03685
87246.947246319,0.056564,0.050797,0.035782
87246.952220684,0.066147,0.052933,0.033661
87246.957164531,0.074661,0.055069,0.032593
87246.962108379,0.083191,0.056137,0.029388
87246.967021709,0.088516,0.05719,0.028336
87246.971965557,0.090652,0.061462,0.026199
87246.976909405,0.090652,0.060394,0.026199
87246.981853252,0.084259,0.054001,0.020874
87246.9867971,0.074661,0.048676,0.01767
87246.991740948,0.064011,0.036957,0.015549
87246.996684795,0.054428,0.020981,0.015549
87247.001598125,0.043777,0.006058,0.011292
87247.006541973,0.037384,-0.006714,0.004898
87247.011485821,0.03418,-0.014175,0.005966
87247.016429668,0.035248,-0.020569,0.007019
87247.021362486,0.040573,-0.031219,0.008087
